Education_Level,Age_Group,Developer_Type,Organisation_Size,Uses_AI_Tools,Currency,Years_of_Experience,Years_of_Coding_Experience,Years_of_Pro_Coding_Experience,Current_Work_Situation,Databases,Programming_Languages,Learning_Sources,Estimated_Annual_Salary
PhD,45-54 years old,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",No,USD,0,2,0,Remote,MySQL,JavaScript;Go;Ruby;Swift,Books / Physical media;Other online resources,55749.81
Bachelor's,18-24 years old,Junior Developer,500-999 employees,Yes,USD,15,17,12,Remote,SQLite,Ruby;Java;JavaScript;C#,Other online resources;Online Courses or Certification;Colleague;Books / Physical media,58000.56
PhD,18-24 years old,Tech Lead,"1,000 to 4,999 employees",No,GBP,48,49,48,Hybrid,SQLite;Oracle,Ruby;Java;Swift;Kotlin,Books / Physical media;Colleague;Other online resources;Online Courses or Certification,175492.77
High School,25-34 years old,Mid-level Developer,"1,000 to 4,999 employees",Yes,USD,48,50,45,Remote,MongoDB;Oracle;PostgreSQL,Kotlin;Python;Ruby,Books / Physical media,141894.23
High School,35-44 years old,Tech Lead,"5,000 to 9,999 employees",No,EUR,0,0,0,Remote,PostgreSQL;SQLite,C#,Other online resources,49755.95
Bachelor's,55+ years old,Junior Developer,"5,000 to 9,999 employees",Yes,USD,23,28,22,In-person,MongoDB,C#;C++;Swift;Java,Other online resources;Books / Physical media,92854.57
Master's,45-54 years old,Student,"5,000 to 9,999 employees",No,GBP,27,32,23,Remote,MongoDB,Java;Go,Other online resources;Online Courses or Certification;Books / Physical media;Colleague,110238.75
High School,35-44 years old,Mid-level Developer,100-499 employees,Yes,GBP,6,11,6,Remote,Oracle;MySQL,Java;JavaScript;Swift;Go,Books / Physical media;Online Courses or Certification;Colleague;Other online resources,44468.04
Master's,55+ years old,Mid-level Developer,"1,000 to 4,999 employees",Yes,EUR,37,40,34,In-person,MySQL,JavaScript;Java;C#;Ruby,Colleague,128908.81
PhD,35-44 years old,Junior Developer,"5,000 to 9,999 employees",Yes,USD,26,31,21,In-person,MongoDB;Oracle;SQLite,Swift;C#;Go;Kotlin,Colleague;Other online resources,114378.84
Master's,55+ years old,Mid-level Developer,10-99 employees,Yes,GBP,16,16,15,Hybrid,PostgreSQL;MongoDB,C#;Kotlin;C++,Online Courses or Certification;Other online resources,72909.28
PhD,18-24 years old,Mid-level Developer,"1,000 to 4,999 employees",Yes,USD,37,39,35,Hybrid,MongoDB,C#;Ruby;C++,Other online resources;Books / Physical media;Online Courses or Certification,130535.19
High School,35-44 years old,Mid-level Developer,"10,000+ employees",Yes,EUR,5,5,2,Hybrid,PostgreSQL;SQLite;MySQL,Go;C++;Ruby;C#,Books / Physical media,48491.4
Master's,25-34 years old,Student,"1,000 to 4,999 employees",No,USD,8,13,3,Remote,SQLite;MySQL;PostgreSQL,Kotlin;Ruby,Colleague,48846.51
Master's,18-24 years old,Tech Lead,500-999 employees,Yes,GBP,37,42,37,Hybrid,Oracle;PostgreSQL;SQLite,JavaScript;Swift;Java,Other online resources;Books / Physical media,145395.83
Bachelor's,45-54 years old,Tech Lead,100-499 employees,Yes,INR,35,36,30,Remote,SQLite;PostgreSQL;MySQL,C++;C#,Online Courses or Certification;Colleague;Other online resources,137275.85
Bachelor's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,Yes,GBP,4,7,4,Remote,Oracle;MySQL,JavaScript,Other online resources;Colleague;Online Courses or Certification;Books / Physical media,53673.03
Bachelor's,55+ years old,Senior Developer,1-9 employees,Yes,GBP,38,39,35,Remote,MongoDB;Oracle;MySQL,Ruby;C++;Java;C#,Online Courses or Certification;Books / Physical media;Colleague,120244.86
Bachelor's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",1-9 employees,Yes,INR,47,50,44,In-person,SQLite,C#;C++;Java;JavaScript,Other online resources;Colleague,163210.5
